date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:46	10958/10958	---M--	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-247b%22	http://ezzaim.com/robots.txt		(from )
19:23:46	33487/33487	---M--	200	added ('OK')	text/html	etag:W/%225f8f531b-7c7c%22	http://ezzaim.com/	ezzaim.com/index.html	(from )
19:23:48	23727/23727	---M--	200	added ('OK')	image/png	etag:%225f8f531b-5caf%22	http://ezzaim.com/icon/fav.png	ezzaim.com/icon/fav.png	(from http://ezzaim.com/)
19:23:49	1657/1657	---M-Z	200	added ('OK')	text/css	etag:W/%225f8f531b-679%22	http://ezzaim.com/css/index.css	ezzaim.com/css/index.css	(from http://ezzaim.com/)
19:23:49	108/108	---M--	200	added ('OK')	application/javascript	etag:%225f8f531b-6c%22	http://ezzaim.com/javascript/index.js	ezzaim.com/javascript/index.js	(from http://ezzaim.com/)
19:23:50	48065/48065	---M--	200	added ('OK')	application/pdf	etag:%225f8f531b-bbc1%22	http://ezzaim.com/files/EZZAIM_SOUFIANE_RESUME.pdf	ezzaim.com/files/EZZAIM_SOUFIANE_RESUME.pdf	(from http://ezzaim.com/)
19:23:53	13212/13212	---M--	200	added ('OK')	image/jpeg	etag:%225f8f531b-339c%22	http://ezzaim.com/pic/EZZAIM_Soufiane.jpeg	ezzaim.com/pic/EZZAIM_Soufiane.jpg	(from http://ezzaim.com/)
19:23:54	42016/42016	---M--	200	added ('OK')	image/png	etag:%225f8f531b-a420%22	http://ezzaim.com/pic/ensias_logo.png	ezzaim.com/pic/ensias_logo.png	(from http://ezzaim.com/)
19:23:55	5060/5060	---M--	200	added ('OK')	image/png	etag:%225f8f531b-13c4%22	http://ezzaim.com/pic/100.png	ezzaim.com/pic/100.png	(from http://ezzaim.com/)
19:24:00	65176/65176	---M--	200	added ('OK')	image/png	etag:%225f8f531b-fe98%22	http://ezzaim.com/pic/compilers.png	ezzaim.com/pic/compilers.png	(from http://ezzaim.com/)
19:24:02	211263/211263	---M--	200	added ('OK')	application/pdf	etag:%225f8f531b-3393f%22	http://ezzaim.com/files/Pre-Print_Automobile%20Insurance%20Claims%20Auditing.pdf	ezzaim.com/files/Pre-Print_Automobile%20Insurance%20Claims%20Auditing.pdf	(from http://ezzaim.com/)
19:24:06	31195/31195	---M--	200	added ('OK')	image/jpeg	etag:%225f8f531b-79db%22	http://ezzaim.com/pic/morse.jpg	ezzaim.com/pic/morse.jpg	(from http://ezzaim.com/)
19:24:10	18949/18949	---M--	200	added ('OK')	image/png	etag:%225f8f531b-4a05%22	http://ezzaim.com/pic/proxy.png	ezzaim.com/pic/proxy.png	(from http://ezzaim.com/)
19:24:11	3503/3503	---M--	200	added ('OK')	image/png	etag:%225f8f531b-daf%22	http://ezzaim.com/pic/ilo.png	ezzaim.com/pic/ilo.png	(from http://ezzaim.com/)
19:24:22	57462/57462	---M--	200	added ('OK')	image/png	etag:%225f8f531b-e076%22	http://ezzaim.com/pic/msda.png	ezzaim.com/pic/msda.png	(from http://ezzaim.com/)
19:25:31	662983/662983	---M--	200	added ('OK')	image/png	etag:%225f8f531b-a1dc7%22	http://ezzaim.com/pic/mask.png	ezzaim.com/pic/mask.png	(from http://ezzaim.com/)
19:25:36	20713/20713	---M--	200	added ('OK')	application/octet-stream	etag:%225f8f531b-50e9%22	http://ezzaim.com/pic/EITC	ezzaim.com/pic/EITC	(from http://ezzaim.com/)
19:25:43	1018330/1018330	---M--	200	added ('OK')	image/png	etag:%225f8f531b-f89da%22	http://ezzaim.com/pic/dementia.png	ezzaim.com/pic/dementia.png	(from http://ezzaim.com/)
19:25:46	619106/619106	---M--	200	added ('OK')	image/jpeg	etag:%225f8f531b-97262%22	http://ezzaim.com/pic/bridge_logo.jpg	ezzaim.com/pic/bridge_logo.jpg	(from http://ezzaim.com/)
19:25:46	43438/43438	---M--	200	added ('OK')	image/png	etag:%225f8f531b-a9ae%22	http://ezzaim.com/pic/IEEElogo.png	ezzaim.com/pic/IEEElogo.png	(from http://ezzaim.com/)
19:25:54	190883/190883	---M--	200	added ('OK')	image/jpeg	etag:%225f8f531b-2e9a3%22	http://ezzaim.com/pic/index_home.jpg	ezzaim.com/pic/index_home.jpg	(from http://ezzaim.com/css/index.css)
19:26:00	1666551/1666551	---M--	200	added ('OK')	image/png	etag:%225f8f531b-196df7%22	http://ezzaim.com/pic/LPD.png	ezzaim.com/pic/LPD.png	(from http://ezzaim.com/)
